abs_speed_change,duration_error_ratio,final_tts_duration,fluency_penalty,id,module3_best_score,module3_max_vi_final,module3_pred_len_vi,overrun,raw_tts_duration,source_duration,source_text,speed_factor,system,translation,tts_source_ratio,underrun,vi_units
0.48745762711864404,1.5053871520341107e-16,5.9,0.0,1,0.4654545454545454,22,21,1,3.024,5.8999999999999995,"As your morning alarm blares, you mutter to yourself, Why did I set it so early?",0.512542372881356,proposed,Tại sao tôi bật chuông báo thức quá sớm?,1.0000000000000002,0,9
0.3161290322580639,4.2976375146780235e-16,3.1,0.0,2,0.6599999999999999,15,14,0,4.08,3.1000000000000014,"While brushing your teeth, you think, I need a haircut.",1.3161290322580639,proposed,"Trong lúc chải răng, bạn thầm nghĩ: Tôi cần cắt tóc.",0.9999999999999996,1,11
0.5062857142857142,0.0,7.0,0.0,3,0.48086956521739127,23,22,0,3.456,7.0,"Unless... Rushing out the front door, you reach for your keys and realize they're not there.",0.4937142857142857,proposed,Bạn mở cửa trước và thấy chìa khóa không có.,1.0,0,10
0.12380952380952359,1.409807015397024e-16,6.3,0.0,4,0.82,19,18,0,7.08,6.300000000000001,"Frustrated, you shout, I can't do anything right! Just in time to notice your neighbor.",1.1238095238095236,proposed,"Bạn giận dữ, hét lên, nhưng tôi không thể làm gì cả! Chỉ kịp quan sát bạn láng giềng.",0.9999999999999999,1,19
0.38698795180722867,4.280377926265665e-16,8.3,0.0,5,0.6422222222222222,27,26,1,5.088,8.299999999999997,"Being caught talking to yourself can feel embarrassing, and some people even stigmatize this behavior as a sign of mental instability.",0.6130120481927713,proposed,Việc bị bắt gặp khi nói chuyện với bản thân có thể khiến người nghe cảm thấy xấu hổ.,1.0000000000000004,0,19
0.6967032967032968,1.9520404828574178e-16,18.2,0.0,6,0.4138461538461538,65,64,0,5.52,18.200000000000003,"But decades of psychology research show that talking to yourself is completely normal. In fact, most if not all of us engage in some form of self-talk every single day. So why do we talk to ourselves? And does what we say matter?",0.3032967032967032,proposed,Các nghiên cứu tâm lý hàng thập kỷ cho thấy việc tự nói chuyện với bản thân hoàn toàn bình thường.,0.9999999999999998,1,21
0.020000000000000018,0.0,18.0,0.15,7,0.6083333333333333,54,53,0,18.36,18.0,"Self-talk refers to the narration inside your head, sometimes called inner speech. It differs from mental imagery, recalling facts and figures. Specifically, psychologists define self-talk as verbalized thoughts directed toward yourself or some facet of your life.",1.02,proposed,"Tự nói chuyện là những lời kể diễn ra bên trong đầu, đôi khi còn được gọi là lời nói nội tâm. Nó khác với hình ảnh trong đầu, việc nhớ lại các sự kiện và con số. Cụ thể, các nhà tâm lý định nghĩa tự nói chuyện là những suy nghĩ được phát biểu hướng về chính mình hoặc một khía cạnh nào đó của cuộc đời.",1.0,0,69
0.09500000000000064,5.551115123125786e-16,9.6,0.15,8,0.7749999999999999,35,34,1,10.512,9.599999999999994,"This includes personal conversations like, I need to work on my free throw. But it also includes reflections you have throughout the day, like, the gym's crowded tonight.",1.0950000000000006,proposed,"Các cuộc trò chuyện cá nhân như, tôi cần tập trung vào cú ném tự do. Nhưng cũng bao gồm những suy nghĩ bạn có trong ngày, như, cầu thủ bóng rổ đang tập luyện.",1.0000000000000007,0,35
0.11325301204819138,1.2841133778796973e-15,8.3,0.15,9,0.7249999999999999,36,35,0,9.24,8.300000000000011,"I'll come back tomorrow. And while most self-talk in adults tends to be silent, speaking to yourself out loud also falls into this category.",1.1132530120481914,proposed,"Tôi sẽ quay lại ngày mai. Trong khi hầu hết những lời tự nói chuyện của người lớn đều im lặng, việc nói chuyện với bản thân ra ngoài cũng thuộc nhóm này.",0.9999999999999987,1,33
0.034352941176470586,0.0,17.0,0.15,10,0.7321428571428571,56,55,0,16.416,17.0,"In fact, psychologists believe our first experiences with self-talk are mostly vocal, as children often speak to themselves out loud as they play. In the 1930s, Russian psychologist Lev Vygotsky hypothesized that this kind of speech was actually key to development.",0.9656470588235294,proposed,"Thực ra, các nhà tâm lý tin rằng những trải nghiệm đầu tiên với tự nói chuyện chủ yếu là nói to, vì trẻ em thường nói chuyện với bản thân khi chơi đùa. Vào những năm 1930, nhà tâm lý học Nga Lev Vygotsky cho rằng loại lời nói này thực sự là chìa khóa cho sự phát triển.",1.0,0,60
